Stratifying data
Window size: (7, 7)
9 Accuracy:  68.67373474694939  predictions:  {0: 2682, 1: 2109, 2: 208}
10 Accuracy:  68.79375875175035  predictions:  {0: 2699, 1: 2073, 2: 227}
11 Accuracy:  69.25385077015403  predictions:  {0: 2627, 1: 2077, 2: 295}
12 Accuracy:  70.41408281656332  predictions:  {0: 2809, 1: 1888, 2: 302}
13 Accuracy:  69.53390678135627  predictions:  {0: 2714, 1: 2027, 2: 258}
14 Accuracy:  69.53390678135627  predictions:  {0: 2724, 1: 2021, 2: 254}
15 Accuracy:  69.29385877175434  predictions:  {0: 2808, 1: 1978, 2: 213}
16 Accuracy:  69.35387077415484  predictions:  {0: 2726, 1: 2039, 2: 234}
17 Accuracy:  69.81396279255851  predictions:  {0: 2734, 1: 1980, 2: 285}
18 Accuracy:  69.71394278855772  predictions:  {0: 2745, 1: 1999, 2: 255}
19 Accuracy:  69.69393878775755  predictions:  {0: 2753, 1: 1982, 2: 264}
20 Accuracy:  69.19383876775355  predictions:  {0: 2819, 1: 1999, 2: 181}
21 Accuracy:  69.75395079015804  predictions:  {0: 2544, 1: 2174, 2: 281}
22 Accuracy:  69.37387477495498  predictions:  {0: 2666, 1: 2106, 2: 227}
23 Accuracy:  70.03400680136028  predictions:  {0: 2765, 1: 1958, 2: 276}
24 Accuracy:  69.873974794959  predictions:  {0: 2690, 1: 2039, 2: 270}
25 Accuracy:  69.43388677735547  predictions:  {0: 2747, 1: 1997, 2: 255}
26 Accuracy:  70.01400280056012  predictions:  {0: 2754, 1: 1989, 2: 256}
27 Accuracy:  69.67393478695739  predictions:  {0: 2807, 1: 1942, 2: 250}
28 Accuracy:  68.35367073414683  predictions:  {0: 2921, 1: 1904, 2: 174}
29 Accuracy:  69.41388277655531  predictions:  {0: 2684, 1: 2058, 2: 257}
30 Accuracy:  68.83376675335067  predictions:  {0: 2670, 1: 2144, 2: 185}
31 Accuracy:  68.79375875175035  predictions:  {0: 2525, 1: 2239, 2: 235}
32 Accuracy:  68.99379875975194  predictions:  {0: 2411, 1: 2263, 2: 325}
33 Accuracy:  69.45389077815564  predictions:  {0: 2635, 1: 2115, 2: 249}
34 Accuracy:  69.4738947789558  predictions:  {0: 2576, 1: 2132, 2: 291}
35 Accuracy:  68.61372274454891  predictions:  {0: 2734, 1: 2031, 2: 234}
36 Accuracy:  68.81376275255052  predictions:  {0: 2593, 1: 2155, 2: 251}
37 Accuracy:  69.45389077815564  predictions:  {0: 2743, 1: 2014, 2: 242}
38 Accuracy:  69.0738147629526  predictions:  {0: 2810, 1: 1916, 2: 273}
39 Accuracy:  69.45389077815564  predictions:  {0: 2542, 1: 2137, 2: 320}
40 Accuracy:  68.99379875975194  predictions:  {0: 2651, 1: 2088, 2: 260}
41 Accuracy:  68.89377875575114  predictions:  {0: 2722, 1: 2071, 2: 206}
42 Accuracy:  68.49369873974796  predictions:  {0: 2982, 1: 1814, 2: 203}
43 Accuracy:  69.65393078615723  predictions:  {0: 2745, 1: 1974, 2: 280}
44 Accuracy:  69.41388277655531  predictions:  {0: 2778, 1: 1970, 2: 251}
45 Accuracy:  69.15383076615323  predictions:  {0: 2703, 1: 2082, 2: 214}
46 Accuracy:  69.23384676935387  predictions:  {0: 2594, 1: 2129, 2: 276}
47 Accuracy:  68.29365873174635  predictions:  {0: 2575, 1: 2264, 2: 160}
48 Accuracy:  68.83376675335067  predictions:  {0: 2585, 1: 2165, 2: 249}
49 Accuracy:  68.99379875975194  predictions:  {0: 2810, 1: 1878, 2: 311}
Stratifying data
Window size: (7, 7)
Training: Clauses=4000, T=8000, S=10
0 Accuracy:  67.85357071414283  predictions:  {0: 2956, 1: 1798, 2: 245}
1 Accuracy:  69.03380676135227  predictions:  {0: 2739, 1: 2038, 2: 222}
2 Accuracy:  69.17383476695339  predictions:  {0: 2968, 1: 1851, 2: 180}
3 Accuracy:  69.23384676935387  predictions:  {0: 2768, 1: 2031, 2: 200}
4 Accuracy:  69.25385077015403  predictions:  {0: 2622, 1: 2118, 2: 259}
5 Accuracy:  69.53390678135627  predictions:  {0: 2805, 1: 1982, 2: 212}
6 Accuracy:  70.19403880776154  predictions:  {0: 2723, 1: 1942, 2: 334}
7 Accuracy:  69.91398279655931  predictions:  {0: 2767, 1: 1932, 2: 300}
8 Accuracy:  69.83396679335867  predictions:  {0: 2774, 1: 2046, 2: 179}
9 Accuracy:  69.4738947789558  predictions:  {0: 2734, 1: 2065, 2: 200}
10 Accuracy:  70.03400680136028  predictions:  {0: 2780, 1: 2014, 2: 205}
11 Accuracy:  70.31406281256251  predictions:  {0: 2641, 1: 2034, 2: 324}
12 Accuracy:  69.05381076215244  predictions:  {0: 2399, 1: 2354, 2: 246}
13 Accuracy:  69.93398679735947  predictions:  {0: 2829, 1: 1920, 2: 250}
14 Accuracy:  70.29405881176235  predictions:  {0: 2893, 1: 1796, 2: 310}
15 Accuracy:  70.13402680536107  predictions:  {0: 2817, 1: 1942, 2: 240}
16 Accuracy:  69.29385877175434  predictions:  {0: 2754, 1: 2051, 2: 194}
